iter	RMSE
0	13.67549001
1	13.27055789
2	12.83363262
3	12.41385701
4	11.99922273
5	11.5921951
6	11.21281821
7	10.82405472
8	10.51553868
9	10.1801942
10	9.852317449
11	9.541345744
12	9.213169414
13	8.932264356
14	8.627844902
15	8.340102403
16	8.087825516
17	7.845967992
18	7.620584505
19	7.376119859
20	7.142977595
21	6.913886337
22	6.717026427
23	6.495095014
24	6.287859276
25	6.082084422
26	5.875798957
27	5.684222854
28	5.508028092
29	5.339436391
30	5.180650838
31	5.022681954
32	4.869833893
33	4.729375219
34	4.593848533
35	4.462494189
36	4.323700571
37	4.193731472
38	4.072019147
39	3.952243279
40	3.829478661
41	3.717303202
42	3.608014182
43	3.499712997
44	3.393032476
45	3.288974013
46	3.185855568
47	3.092562329
48	3.007262353
49	2.91848506
50	2.837514092
51	2.757404205
52	2.692134862
53	2.616468317
54	2.54654712
55	2.473231325
56	2.408905544
57	2.339314403
58	2.27770515
59	2.219998068
60	2.160930994
61	2.100958997
62	2.043013431
63	1.989723734
64	1.933729353
65	1.880370911
66	1.831159784
67	1.784761099
68	1.743033831
69	1.696146725
70	1.65407166
71	1.610327088
72	1.573000313
73	1.533164991
74	1.495336795
75	1.458729381
76	1.422141173
77	1.38616085
78	1.356287564
79	1.321716316
80	1.290921123
81	1.262357077
82	1.236054929
83	1.206643425
84	1.180323678
85	1.155526881
86	1.131804417
87	1.108969116
88	1.085037118
89	1.062864221
90	1.039632735
91	1.019597049
92	0.9986135225
93	0.9825602633
94	0.962925209
95	0.9439525632
96	0.9262138524
97	0.9092001407
98	0.8934618107
99	0.8778861343
100	0.8626443478
101	0.8495228929
102	0.8352866966
103	0.8203565968
104	0.8066388761
105	0.7934572633
106	0.7802606052
107	0.7697186889
108	0.757840251
109	0.7465008353
110	0.7363600684
111	0.7247735287
112	0.7156372653
113	0.7062066162
114	0.6983823795
115	0.6938147338
116	0.6829264416
117	0.6741264228
118	0.6647083982
119	0.6566001808
120	0.6484035429
121	0.6413615468
122	0.6391014183
123	0.631445672
124	0.6239442306
125	0.6221148595
126	0.6147958915
127	0.6081174762
128	0.6018205017
129	0.5953179773
130	0.5887844324
131	0.5824657698
132	0.579781136
133	0.5740309167
134	0.568894418
135	0.5662916967
136	0.5639914332
137	0.5601457535
138	0.5584309703
139	0.5521510644
140	0.5474300349
141	0.5415681315
142	0.5363106911
143	0.5333036217
144	0.5306372767
145	0.5274243547
146	0.5257741645
147	0.5240414197
148	0.5220904135
149	0.5205492661
150	0.5189500104
151	0.5171893847
152	0.5158297875
153	0.51216384
154	0.5071836387
155	0.5047168303
156	0.5032135535
157	0.5020254633
158	0.4986221892
159	0.497422801
160	0.4952085358
161	0.4908526759
162	0.4897926404
163	0.4854153303
164	0.4832744899
165	0.4821417642
166	0.4782985272
167	0.4773239881
168	0.4761635765
169	0.4752246268
170	0.4742668289
171	0.4730197382
172	0.4700192021
173	0.4686869826
174	0.4656891101
175	0.4627105261
176	0.4600168556
177	0.4586660073
178	0.4576522248
179	0.4567432372
180	0.4557559878
181	0.452899279
182	0.4520480761
183	0.4511196113
184	0.4498415285
185	0.4490733745
186	0.4482893922
187	0.4459304862
188	0.4451584149
189	0.4444797881
190	0.4435083304
191	0.4427729799
192	0.4421087762
